回答番号,受付番号,回答日時,属性,あなたの性別は？,あなたの年齢は？,あなたが住んでる地区は？,あなたが住んでる地区の良いところや好きなところ、自慢したいところは？,あなたが住んでいる地区に変わってほしいところや不便なところは？,鯖江市に変わってほしいところや不便なところは？,あなたは鯖江市に住み続けたいですか？,住みたい場所の質問で、3～5を選択した人にお聞きします。具体的にどこに移りたいですか？,住みたい場所の質問で、あなたが選んだ理由は？,あなたが欲しい情報を探したり集めたりするときに使うものは？ [（○は３つまで）],あなたが欲しい情報を探したり集めたりするときに使うものは？その他,あなたは鯖江市がどんなまちになったらいいと思いますか？ [（○は３つまで）],あなたは鯖江市がどんなまちになったらいいと思いますか？その他,鯖江市の将来像について、夢や希望、アイデアなど、想いを自由に書いてください。,その他、市に対して言いたいことを、自由に書いてください。
559,RS00055973,2023-07-12T08:37:30,中学生,女性,12〜15歳,片上,自然が豊かでいい,,"山の近くにスーパーがないところ
遊ぶ場所が少ない",２．一度、市を出て、また帰ってきたい,,他のところにも住んでみたいから,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち,,,
558,RS00055818,2023-07-11T09:11:19,中学生,女性,12〜15歳,河和田,地域の人と仲が良い,,友達と遊べるところが少ない,２．一度、市を出て、また帰ってきたい,,県外に住んでみたいから,スマートフォン（スマホ）;タブレット端末;テレビ,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;デジタル技術を活用したサービスが充実したまち;若者や女性に選ばれる魅力のあるまち,,にぎやかな鯖江になってほしい,
557,RS00055745,2023-07-11T08:27:41,中学生,女性,12〜15歳,中河,みんなが仲良くすごせる,,遊べる場所がない,３．市内の他の地区に移りたい,大阪府,県外で自分のやりたいことをしたいから,スマートフォン（スマホ）;パソコン,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,もうちょい都会になってほしい,
556,RS00055629,2023-07-10T16:31:36,中学生,回答しない,12〜15歳,豊,自然が豊か,,"田舎すぎる
サイゼリアを作ってほしい",４．県内の他の市町に移りたい,福井市,田舎から,スマートフォン（スマホ）,,デジタル技術を活用したサービスが充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,東京並みの都会,田んぼが多すぎるから田んぼがある土地に若者が遊べる施設を作ってほしい
555,RS00055518,2023-07-10T15:57:44,中学生,男性,12〜15歳,中河,,,お店が少ない,２．一度、市を出て、また帰ってきたい,,都会にいると悪いことに出くわしそうだから,パソコン;スマートフォン（スマホ）,,まちなみや景観が美しいまち;子どもから高齢者まで安心して教育を受けられるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,,
554,RS00055459,2023-07-10T15:53:07,中学生,女性,12〜15歳,北中山,あじさいがきれい,,特にありません,１．いま住んでる地区にずっと住み続けたい,,今住んでいるところが安心するから。,パソコン;スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち,,安心して暮らせる街,
553,RS00055310,2023-07-10T15:22:07,中学生,女性,12〜15歳,河和田,自然がたくさんある,,遊べるところが少ない,２．一度、市を出て、また帰ってきたい,,自然がたくさんあっていいから,スマートフォン（スマホ）;テレビ;パソコン,,スポーツに親しむ環境が整備されたまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;身近に自然を感じることのできるまち,,"鯖江市にまだない建物をたててほしい
買い物、遊ぶ場所など",もっといろんなたてものをたててほしい
552,RS00055295,2023-07-10T15:21:52,中学生,女性,12〜15歳,片上,地域の人が優しい,,学校帰りに電気がないので電気をつけてほしいと思いました。,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,特に何もありません,もっと遊べる場所を増やしてほしい
551,RS00055108,2023-07-10T15:21:05,中学生,男性,12〜15歳,河和田,漆器が伝統的,,"遊ぶ場所が少ない
Wi-Fiが古い",５．県外に移りたい,東京都,他の県を体験したいから,パソコン;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,もっと遊び場を作ろう,
550,RS00055080,2023-07-10T15:20:33,中学生,女性,12〜15歳,河和田,自然豊かで空気と水がきれい。,,"交通手段が自転車か、車か、バスしかないとこ。
買い物ができるところがコンビニしかないとこ。
何か欲しいときに北中山まで行かなきゃいけないとこ。",４．県内の他の市町に移りたい,福井市,今住んでいるところより、交通機関が発達していたり、買い物施設が多いから。,スマートフォン（スマホ）;テレビ,,人々のふれあいやコミュニティ活動が盛んで温かいまち;産業が盛んで働く場所が充実したまち;スポーツに親しむ環境が整備されたまち,,すべての人が平等に活動できる街。,鯖江市の東側と、西側で、格差があること
549,RS00054972,2023-07-10T15:17:31,中学生,女性,12〜15歳,北中山,"自然が豊か
人々が温かい
安全",,友だちと遊べるところが少ない,２．一度、市を出て、また帰ってきたい,,若いときは都会で働いたり生活したいが、年をとってからは自然豊かなところで暮らしたい。,スマートフォン（スマホ）;テレビ,,歴史・伝統・芸術・文化を大切にするまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;身近に自然を感じることのできるまち,,,
548,RS00054870,2023-07-10T15:17:31,中学生,男性,12〜15歳,吉川,町がきれい,,ない,５．県外に移りたい,,やりたい仕事の会社の近いところに住みたいから,スマートフォン（スマホ）;テレビ;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;産業が盛んで働く場所が充実したまち;個性を尊重し多様なライフスタイルが実現できるまち,,もっと発展してほしい,特にない
547,RS00054780,2023-07-10T15:16:21,中学生,女性,12〜15歳,河和田,"


漆が有名",,"


イオンモールがないこと",５．県外に移りたい,大阪府,"


都会だから",スマートフォン（スマホ）;テレビ;新聞・雑誌など,,子どもから高齢者まで安心して教育を受けられるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;だれもが自由に移動できる交通利便性の高いまち,,"


ゴミが道とかに落ちているから落ちないようにする","


特にない"
546,RS00054655,2023-07-10T15:16:17,中学生,女性,12〜15歳,北中山,自然,,田舎,５．県外に移りたい,大阪府,田舎が嫌だから,スマートフォン（スマホ）;テレビ;新聞・雑誌など,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,三大都市圏にはいるぐらい発達してほしい,
545,RS00054520,2023-07-10T15:15:58,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,地域のイベントが多くある。,,ゴミが多いところ。,２．一度、市を出て、また帰ってきたい,,将来やりたいことに必要な知識を学ぶため。,パソコン;スマートフォン（スマホ）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,ゴミが多いため、ゴミを少なくする取り組みをする。,特になし
544,RS00054430,2023-07-10T15:14:05,中学生,男性,12〜15歳,北中山,自然が多い,,コンビニや信号機が少ない,１．いま住んでる地区にずっと住み続けたい,,鯖江は住みやすいから。,パソコン;スマートフォン（スマホ）;テレビ,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;高度な医療や福祉サービスが充実したまち;子どもから高齢者まで安心して教育を受けられるまち,,,
543,RS00054378,2023-07-10T15:13:52,中学生,女性,12〜15歳,河和田,自然がよく、静かに勉強のできる環境がある。,,大雪のとき、除雪を定期的にするなどの対策をとってほしい。,２．一度、市を出て、また帰ってきたい,,住みやすいから。,スマートフォン（スマホ）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,誰もが、安心安全に暮らせる市になってほしい。,鯖江市は住みやすいです。
