回答番号,受付番号,回答日時,あなたの性別は？,あなたが住んでる地区は？,あなたが住んでる地区の良いところや好きなところ、自慢したいところは？,鯖江市に変わってほしいところや不便なところは？,あなたが社会人になっても鯖江市に住み続けたい？ [※１～２を選択した人の次の設問はQ７です],Q5で３～５を選択した人にお聞きします。具体的にどこに移りたいですか？ [都道府県、市町、地区名など],Ｑ５であなたが選んだ理由は？ [できるだけ具体的にお願いいたします。],あなたが欲しい情報を探したり集めたりするときに使うものは？ [（○は３つまで）],あなたが欲しい情報を探したり集めたりするときに使うものは？その他,あなたは鯖江市がどんなまちになったらいいと思いますか？ [（○は３つまで）],あなたは鯖江市がどんなまちになったらいいと思いますか？その他,鯖江市の将来像について、夢や希望、アイデアなど、想いを自由に書いてください。,その他、市に対して言いたいことを、自由に書いてください。
559,RS00055973,2023-07-12T08:37:30,女性,片上,自然が豊かでいい,"山の近くにスーパーがないところ
遊ぶ場所が少ない",２．一度、市を出て、また帰ってきたい,,他のところにも住んでみたいから,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち,,,
558,RS00055818,2023-07-11T09:11:19,女性,河和田,地域の人と仲が良い,友達と遊べるところが少ない,２．一度、市を出て、また帰ってきたい,,県外に住んでみたいから,スマートフォン（スマホ）;タブレット端末;テレビ,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;デジタル技術を活用したサービスが充実したまち;若者や女性に選ばれる魅力のあるまち,,にぎやかな鯖江になってほしい,
557,RS00055745,2023-07-11T08:27:41,女性,中河,みんなが仲良くすごせる,遊べる場所がない,３．市内の他の地区に移りたい,大阪府,県外で自分のやりたいことをしたいから,スマートフォン（スマホ）;パソコン,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,もうちょい都会になってほしい,
556,RS00055629,2023-07-10T16:31:36,回答しない,豊,自然が豊か,"田舎すぎる
サイゼリアを作ってほしい",４．県内の他の市町に移りたい,福井市,田舎から,スマートフォン（スマホ）,,デジタル技術を活用したサービスが充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,東京並みの都会,田んぼが多すぎるから田んぼがある土地に若者が遊べる施設を作ってほしい
555,RS00055518,2023-07-10T15:57:44,男性,中河,,お店が少ない,２．一度、市を出て、また帰ってきたい,,都会にいると悪いことに出くわしそうだから,パソコン;スマートフォン（スマホ）,,まちなみや景観が美しいまち;子どもから高齢者まで安心して教育を受けられるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,,
554,RS00055459,2023-07-10T15:53:07,女性,北中山,あじさいがきれい,特にありません,１．いま住んでる地区にずっと住み続けたい,,今住んでいるところが安心するから。,パソコン;スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち,,安心して暮らせる街,
553,RS00055310,2023-07-10T15:22:07,女性,河和田,自然がたくさんある,遊べるところが少ない,２．一度、市を出て、また帰ってきたい,,自然がたくさんあっていいから,スマートフォン（スマホ）;テレビ;パソコン,,スポーツに親しむ環境が整備されたまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;身近に自然を感じることのできるまち,,"鯖江市にまだない建物をたててほしい
買い物、遊ぶ場所など",もっといろんなたてものをたててほしい
552,RS00055295,2023-07-10T15:21:52,女性,片上,地域の人が優しい,学校帰りに電気がないので電気をつけてほしいと思いました。,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,特に何もありません,もっと遊べる場所を増やしてほしい
551,RS00055108,2023-07-10T15:21:05,男性,河和田,漆器が伝統的,"遊ぶ場所が少ない
Wi-Fiが古い",５．県外に移りたい,東京都,他の県を体験したいから,パソコン;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,もっと遊び場を作ろう,
550,RS00055080,2023-07-10T15:20:33,女性,河和田,自然豊かで空気と水がきれい。,"交通手段が自転車か、車か、バスしかないとこ。
買い物ができるところがコンビニしかないとこ。
何か欲しいときに北中山まで行かなきゃいけないとこ。",４．県内の他の市町に移りたい,福井市,今住んでいるところより、交通機関が発達していたり、買い物施設が多いから。,スマートフォン（スマホ）;テレビ,,人々のふれあいやコミュニティ活動が盛んで温かいまち;産業が盛んで働く場所が充実したまち;スポーツに親しむ環境が整備されたまち,,すべての人が平等に活動できる街。,鯖江市の東側と、西側で、格差があること
