回答番号,受付番号,回答日時,あなたの性別は？,あなたが住んでる地区は？,あなたが住んでる地区の良いところや好きなところ、自慢したいところは？,鯖江市に変わってほしいところや不便なところは？,あなたが社会人になっても鯖江市（市外の方は今住んでるまち）に住み続けたい？ [※１～２を選択した人の次の設問はQ７です],Q5で３～５を選択した人にお聞きします。具体的にどこに移りたいですか？ [都道府県、市町、地区名など],Ｑ５であなたが選んだ理由は？ [できるだけ具体的にお願いいたします。],あなたが欲しい情報を探したり集めたりするときに使うものは？ [（○は３つまで）],あなたは鯖江市がどんなまちになったらいいと思いますか？ [（○は３つまで）],鯖江市の将来像について、夢や希望、アイデアなど、想いを自由に書いてください。,その他、市に対して言いたいことを、自由に書いてください。
208,PB00020888,2023-07-14T11:10:38,男性,新横江（鯖江東小学校区）,湧き水がある,ない,２．一度、市を出て、また帰ってきたい,,特にない,スマートフォン（スマホ）,歴史・伝統・芸術・文化を大切にするまち,ない,ない
207,PB00020787,2023-07-14T10:44:32,女性,市外,昔ながらの情緒ある町並み。治安の良さ。清潔さ。学習環境の良さ。,特にない。,１．いま住んでる地区にずっと住み続けたい,,今住んでいる土地が好きだから。将来自分の住んでいる土地について発信していきたいと思っているから。,パソコン;スマートフォン（スマホ）;タブレット端末,まちなみや景観が美しいまち;子どもから高齢者まで安心して教育を受けられるまち;個性を尊重し多様なライフスタイルが実現できるまち,土地の特徴を活かして県外にアピールしていってほしい。,特にないです。
206,PB00020634,2023-07-14T09:46:16,女性,北中山,"自然が豊か
人が優しい",友達と楽しめるような施設がほしい,１．いま住んでる地区にずっと住み続けたい,,住心地が良いから,スマートフォン（スマホ）,個性を尊重し多様なライフスタイルが実現できるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
205,PB00020570,2023-07-14T09:43:51,男性,吉川,自然,遊ぶ場所が少ない,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,パソコン;スマートフォン（スマホ）;新聞・雑誌など,個性を尊重し多様なライフスタイルが実現できるまち,,
204,PB00020437,2023-07-14T09:43:41,男性,中河,犯罪がないこと,大きい施設が少ないこと,５．県外に移りたい,北海道,夏が暑くないから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち;安心して結婚・出産・子育てができるまち;だれもが自由に移動できる交通利便性の高いまち,若い人が活躍する。,
203,PB00020393,2023-07-14T09:43:30,女性,市外,スタバがある,友達と遊べる場所が少ない,５．県外に移りたい,大阪府,都会に行きたいから,スマートフォン（スマホ）;タブレット端末,防災対策や防犯対策が十分で安全安心に暮らせるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;まちなみや景観が美しいまち,みんなが安心して暮らせる町,ショッピングモールを作ってほしい
202,PB00020220,2023-07-14T09:43:10,女性,立待,"引っ越してきたのでわからない
もともと北中山にいたけど、紫陽花がきれいなところや川島ごぼうがおいしいところや自然・歴史あふれるところが魅力だと思う。","山すぎる
遊べるばしょがアルプラしかない",２．一度、市を出て、また帰ってきたい,,住みやすい,スマートフォン（スマホ）;テレビ;新聞・雑誌など,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち;地域資源を活かした観光交流が盛んなまち,今のままでもよい,
201,PB00020180,2023-07-14T09:42:51,男性,鯖江（惜陰・進徳小学校区）,学校などから近い、住民が多い,若者向けの施設が少ない,２．一度、市を出て、また帰ってきたい,,県内に魅力的な施設などがないから,パソコン;スマートフォン（スマホ）;テレビ,まちなみや景観が美しいまち;地域資源を活かした観光交流が盛んなまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,
200,PB00020049,2023-07-14T09:42:10,男性,鯖江（惜陰・進徳小学校区）,平和,ない,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,ない,ない
199,PB00019940,2023-07-14T09:41:53,男性,鯖江（惜陰・進徳小学校区）,勉強するための環境が整っている,なし,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,気軽に運動できる場所を増やしてほしい,なし
198,PB00019832,2023-07-14T09:40:24,女性,市外,住民が親切で自然が多い,田舎,２．一度、市を出て、また帰ってきたい,,都会にも行きたいから,スマートフォン（スマホ）,まちなみや景観が美しいまち,子供から大人まで楽しめる公共の場がほしい,ショッピングモールがほしい
197,PB00019762,2023-07-14T09:40:14,男性,市外,桜がきれいなとこ,遊べるとこを多くしてほしい,５．県外に移りたい,大阪,違う場所に行きたい,スマートフォン（スマホ）;テレビ;新聞・雑誌など,スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,たくさんの観光客が来る街,とくになし
196,PB00019660,2023-07-14T09:38:28,女性,鯖江（惜陰・進徳小学校区）,大きな自然に溢れている公園(西山公園)があるところ　,イオンがないこと。室内遊び場のようなものがないこと,２．一度、市を出て、また帰ってきたい,,将来やりたい仕事が県外にしかないから。退職したら福井に戻ってきたい,スマートフォン（スマホ）;パソコン,子どもから高齢者まで安心して教育を受けられるまち;だれもが自由に移動できる交通利便性の高いまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,今よりももう少しだけ栄えてほしい。鯖江の自然が多い町並みが気に入っているので都会のような人口の多すぎるところにはなってほしくないけど、ショッピングセンターとか、娯楽施設は今よりも増えてほしいので、すこしだけ娯楽施設を増やしてほしい。,
195,PB00019555,2023-07-14T09:38:09,女性,神明（神明・鳥羽小学校区）,病院などの福祉環境が整っている,ショッピングモールがない,４．県内の他の市町に移りたい,金沢市,やりたい仕事で働く環境がない,パソコン,子どもから高齢者まで安心して教育を受けられるまち;高度な医療や福祉サービスが充実したまち;安心して結婚・出産・子育てができるまち,,
194,PB00019492,2023-07-14T09:37:36,女性,神明（神明・鳥羽小学校区）,自然が沢山溢れている所。,商店街を作って欲しい所。,２．一度、市を出て、また帰ってきたい,,"家に住んで働いたほうがお金が貯まりそうだから。
",スマートフォン（スマホ）;テレビ;ラジオ,歴史・伝統・芸術・文化を大切にするまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;身近に自然を感じることのできるまち,就職がしやすく働きやすい町。,特にない。
193,PB00019336,2023-07-14T09:36:29,女性,吉川,自然がいっぱいある,"買い物できる場所が少ない
",１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所が住みやすいから,スマートフォン（スマホ）;パソコン,子どもから高齢者まで安心して教育を受けられるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;身近に自然を感じることのできるまち,,
192,PB00019234,2023-07-14T09:36:24,女性,市外,紫式部公園、中央公園,駅の周りが発展してほしい,２．一度、市を出て、また帰ってきたい,,県外に住んでみたいから,スマートフォン（スマホ）,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
191,PB00019112,2023-07-14T09:35:45,男性,神明（神明・鳥羽小学校区）,"図書館でみんな揃って勉強ができる。
近所の人と仲がいいところ。
","交通手段がなく移動が不便なところ。
友達と遊ぶ場所が少なく行くところがだいたい限られてしまうところ。",１．いま住んでる地区にずっと住み続けたい,,"今住んでいる場所の人が明るく接してくれるから。
事件があまり起きなくて安全な街だから。",スマートフォン（スマホ）;パソコン;タブレット端末,デジタル技術を活用したサービスが充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;若者や女性に選ばれる魅力のあるまち,"子供から高齢者までが遊べる施設を作って欲しい。
交通の便を良くしてほしい",
190,PB00019026,2023-07-14T09:35:44,男性,市外,自然,なんか楽しそうなもの,５．県外に移りたい,大阪、京都、東京,"将来やりたい仕事が県外にしかないから。
日本の殆どの人がそこにいるから",スマートフォン（スマホ）;タブレット端末;テレビ,デジタル技術を活用したサービスが充実したまち;高度な医療や福祉サービスが充実したまち;子どもから高齢者まで安心して教育を受けられるまち,みんな優しい,ない
189,PB00018941,2023-07-14T09:35:40,女性,市外,自然がたくさん,友だちと遊べる場所が少ない,１．いま住んでる地区にずっと住み続けたい,,住み慣れていて安心できるから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;だれもが自由に移動できる交通利便性の高いまち,"市民は医療費0円

有名人に鯖江のメガネをPRしてもらう",
188,PB00018812,2023-07-14T09:35:25,女性,市外,地域の人との仲が良い。,高校生が遊べる場所が少ない。,５．県外に移りたい,大阪府,都会に住みたいから。,スマートフォン（スマホ）;テレビ;タブレット端末,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;だれもが自由に移動できる交通利便性の高いまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,
187,PB00018769,2023-07-14T09:35:15,男性,市外,田んぼだらけ,,１．いま住んでる地区にずっと住み続けたい,,移動するのが面倒だから,スマートフォン（スマホ）,まちなみや景観が美しいまち,,
186,PB00018631,2023-07-14T09:35:01,女性,市外,自習室がある、文房具店と書店とカフェが１つの学習カフェとして経営され、集中して学習に取り組める場所がある,ツツジバスに乗れない（何度もバス停で待っていたら、私を無視して通り過ぎた）,５．県外に移りたい,オーストラリア、東京,自分がやりたいことはQ6で選んだところにしかないから,スマートフォン（スマホ）;タブレット端末,人々のふれあいやコミュニティ活動が盛んで温かいまち,鯖江市は今でも十分素敵な街だと思います,つつじバスのバス停をわかりやすくして、無視しないでほしい
185,PB00018521,2023-07-14T09:34:57,男性,河和田,自然豊かなところ。,遊べる場所が少ないところ。,２．一度、市を出て、また帰ってきたい,,県外の生活を一度だけ経験してみたいから。,スマートフォン（スマホ）;新聞・雑誌など;パソコン,スポーツに親しむ環境が整備されたまち;まちなみや景観が美しいまち;だれもが自由に移動できる交通利便性の高いまち,,
184,PB00018474,2023-07-14T09:34:56,男性,北中山,山が多く湧き水がある,近くに遊べるところがない,２．一度、市を出て、また帰ってきたい,,街の外に出て、今の街の良さを再認識したいから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち;安心して結婚・出産・子育てができるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,所構わず木を植えよう,変に開拓しないでください
183,PB00018327,2023-07-14T09:34:20,男性,市外,,,２．一度、市を出て、また帰ってきたい,,"県外で仕事のキャリアを積みたいから
今住んでいる場所が住みやすく、落ち着けるから",スマートフォン（スマホ）;テレビ;新聞・雑誌など,まちなみや景観が美しいまち;身近に自然を感じることのできるまち,,
182,PB00018236,2023-07-14T09:34:16,男性,神明（神明・鳥羽小学校区）,西山公園で花見をしたり遊んだりすることができる,テーマパーク等の遊べる場所が少ないこと,５．県外に移りたい,東京,一度都会に出てみたいから,スマートフォン（スマホ）;新聞・雑誌など;パソコン,人々のふれあいやコミュニティ活動が盛んで温かいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,"鯖江市が朝と同じくらいに夜もにぎやかな街にしたいです
そのために、お店や娯楽施設を充実させるといいとおもいます。",もう少し道路の整備や、学校等建物の修繕をしてほしいです
181,PB00018187,2023-07-14T09:34:08,男性,市外,自然が沢山,ショッピングモールを建ててほしい,２．一度、市を出て、また帰ってきたい,,県外の大学に行きたいから。,スマートフォン（スマホ）;テレビ,人々のふれあいやコミュニティ活動が盛んで温かいまち;子どもから高齢者まで安心して教育を受けられるまち;若者や女性に選ばれる魅力のあるまち,多くの観光客が訪れるような豊かできれいな場所。,若者から高齢者まで多くの人が楽しめるまちづくりをしてほしい。
180,PB00018053,2023-07-14T09:32:54,女性,市外,街が整っている,もっとお店を作って欲しい,５．県外に移りたい,大阪,大阪で一人暮らししたいから,スマートフォン（スマホ）,まちなみや景観が美しいまち;安心して結婚・出産・子育てができるまち;若者や女性に選ばれる魅力のあるまち,もっといろんなお店を立てて人がたくさん来る街,
