No,紙/WEB,問1,問2,問3,問3 その他,問4,問5,問6,問7 1つ目,問7 2つ目,問7 3つ目,問7 その他,問8 1人目,問8 2人目,問8 3人目,問8 4人目,問8 5人目,問8 未就学児,問8 小学生,問8 中学生,問8 高校生,問8 大学生等,問9,問10,問10 その他,問11 1つ目,問11 2つ目,問11 3つ目,問11 その他,問12 1つ目,問12 2つ目,問12 3つ目,問12 その他,問13① 1つ目,問13① 2つ目,問13① 3つ目,問13① その他,問13② 1つ目,問13② 2つ目,問13② 3つ目,問13② その他,問13③ 1つ目,問13③ 2つ目,問13③ 3つ目,問13③ その他,問13④ 1つ目,問13④ 2つ目,問13④ 3つ目,問13④ その他,問13⑤ 1つ目,問13⑤ 2つ目,問13⑤ 3つ目,問13⑤ その他,問13市 1つ目,問13市 2つ目,問13市 3つ目,問13市 その他,問14,問15-1 1-1重,問15-1 1-1満,問15-1 1-2重,問15-1 1-2満,問15-1 1-3重,問15-1 1-3満,問15-1 1-4重,問15-1 1-4満,問15-1 1-5重,問15-1 1-5満,問15-1 1-6重,問15-1 1-6満,問15-1 1-7重,問15-1 1-7満,問15-1 1-8重,問15-1 1-8満,問15-1 1-9重,問15-1 1-9満,問15-1 2-1重,問15-1 2-1満,問15-1 2-2重,問15-1 2-2満,問15-1 2-3重,問15-1 2-3満,問15-1 2-4重,問15-1 2-4満,問15-1 2-5重,問15-1 2-5満,問15-1 2-6重,問15-1 2-6満,問15-1 2-7重,問15-1 2-7満,問15-1 2-8重,問15-1 2-8満,問15-1 2-9重,問15-1 2-9満,問15-1 2-10重,問15-1 2-10満,問15-1 2-11重,問15-1 2-11満,問15-1 2-12重,問15-1 2-12満,問15-1 2-13重,問15-1 2-13満,問15-1 2-14重,問15-1 2-14満,問15-1 2-15重,問15-1 2-15満,問15-1 2-16重,問15-1 2-16満,問15-1 2-17重,問15-1 2-17満,問15-1 2-18重,問15-1 2-18満,問15-1 2-19重,問15-1 2-19満,問15-1 2-20重,問15-1 2-20満,問15-1 2-21重,問15-1 2-21満,問15-1 2-22重,問15-1 2-22満,問15-2 ①1つ目,問15-2 ①2つ目,問15-2 ①3つ目,問15-2 ②1つ目,問15-2 ②2つ目,問15-2 ②3つ目,問16 1重,問16 1満,問16 2重,問16 2満,問16 3重,問16 3満,問16 4重,問16 4満,問16 5重,問16 5満,問16 6重,問16 6満,問16 7重,問16 7満,問16 8重,問16 8満,問16 9重,問16 9満,問16 10重,問16 10満,問16 11重,問16 11満,問16 12重,問16 12満,問16 13重,問16 13満,問16 14重,問16 14満,問16 15重,問16 15満,問16 16重,問16 16満,問16 17重,問16 17満,問16 18重,問16 18満,問17 自由 意見,web回答番号
1,紙,2,9,10,,4,1,1,1,3,4,,99,99,99,99,99,0,0,0,0,0,3,99,,98,98,98,,3,5,99,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,99,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,車の返納に対して、もっと動きやすい生活してほしい。年金暮らしだけの私には、苦しく辛い。市役所には、相談事はただの仕事だという考えについていけない。税金だけもらって心からの思いをほしいです。,
2,紙,1,2,9,,2,2,3,1,8,15,,2,3,99,99,99,0,1,1,0,0,4,1,,3,5,6,,1,2,99,,1,9,99,,9,99,99,,9,16,99,,9,99,99,,9,99,99,,9,16,99,,2,4,4,5,2,4,2,3,5,2,4,5,3,4,3,4,2,4,2,4,4,4,3,4,3,4,3,5,2,4,2,3,3,4,2,4,4,4,3,4,2,4,3,4,4,4,3,4,3,3,3,5,2,5,4,4,4,4,4,5,3,4,4,18,99,99,8,99,99,5,4,5,2,4,3,5,3,5,2,5,4,4,4,4,2,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,鯖江市の改善に向けて共にがんばりましょう！！,
3,紙,1,3,4,,2,3,6,7,13,15,,99,99,99,99,99,0,0,0,0,0,3,3,,98,98,98,,1,2,4,,1,16,17,,1,16,17,,1,16,17,,1,7,8,,1,7,8,,1,16,17,,2,5,3,3,3,5,0,5,5,5,3,5,3,5,3,5,1,5,2,5,3,5,3,5,2,5,3,5,3,5,3,5,4,5,4,5,2,4,2,4,2,5,0,5,4,5,4,5,2,5,2,5,1,5,4,5,4,5,4,5,3,5,3,3,13,17,3,8,12,5,3,5,4,5,2,5,4,5,3,5,4,5,2,5,1,5,4,5,4,5,4,5,3,5,3,5,3,5,2,5,4,5,5,5,5,,
4,紙,1,4,2,,1,1,1,2,99,99,,99,99,99,99,99,0,0,0,0,0,2,3,,98,98,98,,1,2,3,,99,99,99,,2,7,11,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,2,3,3,4,3,5,3,3,3,3,2,4,2,3,3,4,3,3,3,4,2,4,2,4,2,4,3,5,2,5,2,5,1,2,2,4,2,5,2,5,2,5,0,5,0,5,2,5,2,5,2,4,0,4,1,5,1,5,0,5,1,5,2,99,99,99,99,99,99,5,1,4,0,5,0,4,0,5,0,4,2,5,1,5,2,5,1,5,0,5,1,5,1,5,1,5,0,5,1,5,1,5,1,5,1,鯖江にも何か観光名所を作るべき。音楽活動ができる場所→音楽で人のつながりを目指す。,
5,紙,1,5,2,,3,1,9,99,99,99,,1,2,4,99,99,1,1,0,1,0,3,3,,98,98,98,,1,2,5,,9,15,16,,4,5,12,,2,99,99,,10,11,99,,4,11,99,,18,99,99,エリアでさまざまで全体的にこれというのがない,2,4,3,4,4,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,2,5,2,5,2,5,1,5,2,5,1,5,2,5,4,5,1,5,2,5,3,99,99,99,99,99,99,5,2,5,2,5,2,5,3,5,3,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,3,5,3,5,1,,
6,紙,1,5,2,,2,2,3,99,99,99,,2,1,99,99,99,1,1,0,0,0,4,1,,6,10,98,回覧板広報が紙。町内会も全てがアナログ。,2,4,99,,1,6,17,,6,17,99,,6,17,99,,6,17,99,,6,9,17,,6,7,17,,2,4,3,4,3,5,1,5,4,4,3,1,3,5,4,4,4,3,3,4,3,4,3,4,3,3,3,4,3,5,2,4,4,3,3,3,3,2,3,3,3,5,4,5,4,4,3,5,1,4,3,4,3,5,2,2,3,4,2,4,2,4,3,13,21,99,12,13,18,4,3,4,3,1,3,4,3,4,3,5,4,2,3,4,1,5,3,2,2,4,1,3,3,4,2,3,3,3,3,4,4,5,4,4,3,紙の広報紙不要。ネットを使った通知でいい。回覧板も不要。同上。上記紙・印刷代のムダ。マンパワーを使う配布のムダ。せめて希望者のみ紙でいい。,
7,紙,1,5,6,,1,4,1,4,5,99,,99,99,99,99,99,0,0,0,0,0,4,1,,3,5,9,,1,2,99,,15,16,99,,14,15,16,,7,99,99,,2,11,99,,2,11,99,,7,12,14,,2,4,0,4,0,4,1,2,0,3,3,2,0,3,0,4,0,2,0,4,3,3,0,4,0,4,0,4,0,4,0,2,1,0,0,3,0,2,1,3,0,4,0,3,0,3,0,4,1,4,2,4,2,4,0,3,0,3,0,3,0,2,0,12,13,14,15,16,17,3,0,3,0,2,0,3,0,4,0,3,0,3,0,4,0,3,0,4,0,3,0,3,0,3,0,3,0,3,0,4,0,3,0,3,0,政策が多様性でわかりにくい、浸透していないのではないか。やらなければいけない政策はそれでいいが、もっとシンプルに「こういう鯖江に向けて、ここを重点政策とします」と宣言しても良いと思います。少なくとも私には響いていません。,
8,紙,1,6,2,,4,1,3,3,4,5,,99,99,99,99,99,0,0,0,0,0,4,3,,98,98,98,,1,5,9,,6,7,14,,6,7,14,,6,7,14,,6,7,14,,6,7,14,,6,7,14,,2,3,3,4,3,2,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,12,13,14,12,13,14,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,,
9,紙,1,7,10,,2,1,1,4,5,15,,5,99,99,99,99,0,0,0,0,1,3,3,,98,98,98,,1,2,6,,8,9,16,,2,7,9,,5,11,17,,7,11,14,,5,11,17,,1,9,14,,2,0,0,3,4,5,3,4,3,3,3,4,4,4,0,4,0,4,0,5,4,5,0,4,3,0,0,4,3,0,0,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,0,0,0,4,2,3,3,5,3,3,3,3,3,3,3,3,3,99,99,99,99,99,99,4,2,5,2,3,2,3,3,3,4,4,4,0,0,3,3,4,3,3,3,4,4,3,2,3,3,3,3,3,3,3,3,4,4,4,4,,
10,紙,1,7,6,,1,1,1,5,99,99,,99,99,99,99,99,0,0,0,0,0,3,4,,98,98,98,,2,5,99,,9,13,16,,9,13,16,,11,13,16,,11,13,16,,4,13,16,,9,13,16,,2,5,1,5,1,3,2,1,1,1,1,2,2,3,1,5,1,3,2,3,3,3,2,5,1,5,1,5,1,5,2,5,1,2,2,3,3,3,3,3,3,5,2,5,1,3,3,2,2,2,1,3,3,3,3,3,3,5,1,3,2,4,2,5,99,99,5,99,99,3,1,5,1,3,3,3,3,3,3,3,3,2,2,3,3,4,2,5,1,3,3,5,1,3,3,3,3,4,1,5,1,3,3,3,3,鯖江駅、西鯖江駅前の整備（都市化）を第一と考えるべき。鯖江のPRするなら鯖江駅～サンドームまでの歩道周辺の環境を改善する事が大変重要であるが、全く対策されず失望している。,
