【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光があることで、地域の文化や伝統の持続可能性が高まると思う。,上記回答の理由をお答えください（任意）,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,上記回答の理由をお答えください（任意）,【問１０】観光客が増加することにつ良いと思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。,上記でその他を回答した方はその理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記でその他を回答した方はその理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,,
福井市,とてもそう思う,,とてもそう思う,,とてもそう思う,,とてもそう思う,,とてもそう思う,,とても評価している,,,,3,,,,地域の知名度が上がる,騒音やごみの増加,観光スポットを結ぶ交通機関,5,,40～49歳,女性,,とても好ましい,,6,,3,,
鯖江市,あまりそうは思わない,駅がないから,あまりそうは思わない,,ややそう思う,,ややそう思う,,そう思う,,どちらともいえない,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, 歴史文化資源の保存活用につながる",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 宿泊施設、土産物屋, 駐車場",3,,40～49歳,男性,,好ましい,,2,,3,,
福井市,そう思う,街が活発になってる感じがする,あまりそうは思わない,関西圏へのアクセスが悪くなる,そうは思わない,お金が動くから,とてもそう思う,あまり知られていないが、住むととても良い街だと思います,そう思う,,評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 駐車場",7,,40～49歳,男性,,とても好ましい,,7,,2,,
敦賀市,ややそう思う,,そう思う,実家が東京なので帰りやすくなる。,そう思う,,そう思う,福井の魅力を知ってほしい。,そう思う,,どちらかといえば評価している,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",特に心配はない,"観光スポットを結ぶ交通機関, 観光イベント, 宿泊施設、土産物屋",5,,30～39歳,女性,,好ましい,,8,,3,,
あわら市,あまりそうは思わない,,あまりそうは思わない,,そう思う,,そう思う,,そう思う,,どちらともいえない,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる","交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 体験施設",6,,20～29歳,女性,,好ましい,,7,,3,,
敦賀市,あまりそうは思わない,,あまりそうは思わない,,ややそう思う,,そう思う,,そう思う,,どちらともいえない,,,,3,,,,観光客の消費によって飲食業や宿泊業が潤う,治安の悪化,"観光スポットを結ぶ交通機関, 飲食施設",4,,30～39歳,女性,,好ましい,,3,,2,,
福井市,ややそう思う,各地に行きやすくなる,あまりそうは思わない,影響する職種じゃないから,ややそう思う,,あまりそうは思わない,非常識な人がいる,ややそう思う,,どちらともいえない,,,,3,,,,まちに賑わいが生まれる,"騒音やごみの増加, 歴史文化資源の破壊, 自然破壊, 治安の悪化","観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット",5,,40～49歳,女性,,どちらかと言えば好ましくない,,5,,3,,
おおい町,あまりそうは思わない,おおい町は新幹線が通っておらず、敦賀までも遠いからです,あまりそうは思わない,母子家庭で、新幹線代や敦賀までの距離、駐車場などのお金も高く感じる,そうは思わない,,そう思う,,そう思う,福井県の魅力をたくさんの人に知ってもらいたい,評価している,,,,3,,,,"まちに賑わいが生まれる, 地域の知名度が上がる",特に心配はない,"観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット",8,,30～39歳,女性,,好ましい,,5,原子力発電所がある事で、経済的にも助かっているが、地震や災害があった時の事を考えると安全か、,3,,
勝山市,とてもそう思う,恐竜博物館があるから,とてもそう思う,東京に行きやすくなる,とてもそう思う,,とてもそう思う,,とてもそう思う,,評価している,,,,4,,,福井にお金を落としてもらえるから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 観光客との交流が生まれる, 移住・定住のきっかけとなる","交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, 観光イベント, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋",8,,30～39歳,女性,,とても好ましい,,7,,3,,
鯖江市,ややそう思う,駅からは距離が少しあるため,あまりそうは思わない,新幹線に乗る機会はほぼ無いため,そう思う,経済活性につながるため,とてもそう思う,ふくいのよさをしってもらたい,とてもそう思う,福井県の経済活性化,どちらともいえない,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 障害者や高齢者への配慮（バリアフリー）, 駐車場",7,自然に恵まれている,40～49歳,男性,,好ましい,,8,,3,,
