【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,上記回答の理由をお答えください（任意）,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。
坂井市,あまりそうは思わない,なーにも変わったじっかんがないから,あまりそうは思わない,,ややそう思う,,ややそう思う,,ややそう思う,,どちらともいえない,,どちらともいえない,混むのが嫌い,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 駐車場",2,3,,7,,7,,40～49歳,女性
敦賀市,ややそう思う,,あまりそうは思わない,,あまりそうは思わない,,あまりそうは思わない,,全くそうは思わない,,どちらかと言えば評価していない,,好ましくない,,特に効果は期待できない,,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊, 治安の悪化, 日常生活に影響が出るほどの不安",,"観光スポットを結ぶ交通機関, 駐車場",4,3,,7,,7,,30～39歳,男性
坂井市,とてもそう思う,,とてもそう思う,,とてもそう思う,,とてもそう思う,,とてもそう思う,,とても評価している,,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化",5,5,,10,,10,,40～49歳,男性
鯖江市,ややそう思う,,あまりそうは思わない,,あまりそうは思わない,,そうは思わない,,あまりそうは思わない,,どちらともいえない,,どちらともいえない,,地域の知名度が上がる,,特に心配はない,,観光スポットを結ぶ交通機関,1,1,,0,,0,,40～49歳,女性
福井市,そう思う,交通の利便性が向上して、東京から乗り換えなしで来れるため。,そう思う,地域のにぎわいが増えているため。,そう思う,多くのお金が地域に落ちるため。,そう思う,,そう思う,,どちらかと言えば評価していない,それぞれがバラバラに活動しており、地域や団体の横のつながりが不足していると感じるため。,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットを結ぶ交通機関, 飲食施設, 宿泊施設、土産物屋",4,3,,8,交通の便が悪いため。,7,,50～59歳,男性
大野市,あまりそうは思わない,福井駅に降りたとて、わざわざ越美北線等では時間が限られ来ることはないと思うから。,あまりそうは思わない,開通により、敦賀から大阪方面への列車のダイヤルが変更になったり、1本で大阪まで行けていたところが行けなくなったりしたから。,ややそう思う,,ややそう思う,,あまりそうは思わない,,どちらかといえば評価している,,どちらともいえない,,"観光客の消費によって飲食業や宿泊業が潤う, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊, 治安の悪化",,観光スポットの案内板や標識（多言語表示）,2,3,,6,,6,,20～29歳,女性
若狭町,そうは思わない,敦賀で止まっているから,そうは思わない,新幹線を使う機会がない,そう思う,自然豊かだから,そう思う,観光が盛んになればいいと思うから,そう思う,美味しいものがたくさんある,どちらともいえない,大きな話題がない,どちらかと言えば好ましい,町が盛んになる,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる",産業が盛んになる,"騒音やごみの増加, 治安の悪化",静かなことが魅力だから,"観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 飲食施設",3,3,自信がない,6,可もなく不可もなし,7,ちょっといいなと思いたい,30～39歳,女性
福井市,とてもそう思う,関東から観光客が来やすくなったため,ややそう思う,,そう思う,観光収入の増加,とてもそう思う,,とてもそう思う,,どちらかといえば評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, ガイドなど市民参加の場が広がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, その他",5,5,,8,子育てしやすい環境が整えられている,8,,20～29歳,男性
福井市,あまりそうは思わない,何の恩恵も無い,そう思う,出張で使う,そう思う,,そう思う,,そう思う,,評価している,,好ましい,,まちに賑わいが生まれる,,交通渋滞や路上駐車などの交通環境の悪化,,観光スポットの案内板や標識（多言語表示）,3,3,,3,,6,,60～69歳,男性
小浜市,そうは思わない,小浜までこないと影響はわからない,そうは思わない,,ややそう思う,知事辞任でイメージダウン,そう思う,よさを知ってもらえる,あまりそうは思わない,産業を発展させるべきだ,どちらともいえない,わからない,どちらかと言えば好ましい,ゴミは増えるし、かねはあまり落とさない。,特に効果は期待できない,,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 観光案内所、観光ガイド",1,3,,5,,5,,60～69歳,男性
